,CountryName,CountryCode,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,LegacyStringencyIndex,LegacyStringencyIndexForDisplay
10631,Japan,JPN,20200315,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,780.0,22.0,50.52,50.52,56.9,56.9
10632,Japan,JPN,20200316,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,814.0,24.0,50.52,50.52,56.9,56.9
10633,Japan,JPN,20200317,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,824.0,28.0,50.52,50.52,56.9,56.9
10634,Japan,JPN,20200318,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,829.0,28.0,50.52,50.52,56.9,56.9
10635,Japan,JPN,20200319,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,873.0,29.0,50.52,50.52,56.9,56.9
10636,Japan,JPN,20200320,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,950.0,33.0,50.52,50.52,56.9,56.9
10637,Japan,JPN,20200321,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1007.0,35.0,50.52,50.52,56.9,56.9
10638,Japan,JPN,20200322,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1046.0,36.0,50.52,50.52,56.9,56.9
10639,Japan,JPN,20200323,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1089.0,41.0,50.52,50.52,56.9,56.9
10640,Japan,JPN,20200324,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1128.0,42.0,50.52,50.52,56.9,56.9
10641,Japan,JPN,20200325,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1193.0,43.0,50.52,50.52,56.9,56.9
10642,Japan,JPN,20200326,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1268.0,45.0,50.52,50.52,56.9,56.9
10643,Japan,JPN,20200327,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1364.0,46.0,50.52,50.52,56.9,56.9
10644,Japan,JPN,20200328,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1499.0,49.0,50.52,50.52,56.9,56.9
10645,Japan,JPN,20200329,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1693.0,52.0,50.52,50.52,56.9,56.9
10646,Japan,JPN,20200330,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1866.0,54.0,50.52,50.52,56.9,56.9
10647,Japan,JPN,20200331,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1953.0,56.0,50.52,50.52,56.9,56.9
10648,Japan,JPN,20200401,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1953.0,56.0,50.52,50.52,56.9,56.9
10649,Japan,JPN,20200402,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,0.0,834353051822.0,2.0,1.0,1.0,1.0,0.0,0.0,,2178.0,57.0,50.52,50.52,56.9,56.9
10650,Japan,JPN,20200403,3.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,2617.0,63.0,53.3,53.3,59.76,59.76
